,nb_id,old_longer_beginning,new_longer_beginning
0,672138,True,False
1,1102235,True,False
2,1106322,False,True
3,952418,True,False
4,1025896,True,False
5,653243,False,True
6,1250667,True,False
7,401638,True,False
8,552388,False,True
9,988047,False,True
10,500795,False,True
11,546559,True,False
12,625145,True,False
13,295328,,True
14,1115940,True,False
15,344117,True,False
16,990097,False,True
17,618479,False,True
18,629824,True,False
19,869830,True,False
20,629632,True,False
21,284261,False,True
22,519454,True,False
23,958614,True,False
24,1136705,False,True
25,717110,True,False
26,261607,True,False
27,444905,False,True
28,941124,True,False
29,933522,True,False
30,717124,True,False
31,1096549,True,False
32,408357,True,False
33,441088,False,True
34,1181425,False,True
35,629630,True,False
36,56313,True,False
37,1227159,False,True
38,1078898,False,True
39,981627,True,False
40,517070,True,False
41,622602,False,True
42,501026,True,False
43,715374,True,False
44,736966,True,False
45,530715,False,True
46,1229633,False,True
47,485781,True,False
48,1180392,False,True
49,11976,False,True
50,150524,False,True
51,561692,False,True
52,1115925,True,False
53,958674,True,False
54,1104062,False,True
55,823039,False,True
56,900627,True,False
57,102948,True,False
58,645826,False,True
59,249275,False,True
60,111662,True,False
61,679562,False,True
62,183216,True,False
63,655015,True,False
64,221142,True,False
65,1037814,False,True
66,62187,True,False
67,1093114,True,False
68,1115715,True,False
69,381686,False,True
70,284643,True,False
71,380546,True,False
72,284137,False,True
73,807744,False,True
74,33731,True,False
75,314756,True,False
76,589485,False,True
77,85316,True,False
78,1078737,False,True
79,1139974,False,True
80,830014,False,True
81,662657,False,True
82,680045,True,False
83,1017552,,True
84,866862,False,True
85,608396,True,False
86,1229634,False,True
87,509461,True,False
88,950948,True,False
89,505638,False,True
90,838190,True,False
91,1125592,True,False
92,886296,False,True
93,1134346,True,False
94,1234414,True,False
95,6321,True,False
96,75870,False,True
97,1234631,True,False
98,1168033,False,True
99,249074,False,True
100,540789,True,False
101,19508,True,False
102,135342,True,False
103,737124,True,False
104,91206,True,False
105,9258,True,False
106,871494,False,True
107,809604,False,True
108,736965,True,False
109,612818,True,False
110,295335,,True
111,629825,True,False
112,498647,True,False
113,474332,True,False
114,172449,False,True
115,1071810,True,False
116,295252,,True
117,726387,True,False
118,950886,True,False
119,314884,,True
120,269163,True,False
121,987913,False,True
122,384004,False,True
123,1019253,False,True
124,698430,True,False
125,914294,True,False
126,488599,True,False
127,176804,False,True
128,509205,True,False
129,9725,True,False
130,411050,True,False
131,129836,True,False
132,292583,True,False
133,472816,True,False
134,295388,,True
135,485460,True,False
136,658732,,True
137,439355,True,False
138,992288,True,False
139,148806,True,False
140,1175991,False,True
141,561478,False,True
142,933568,True,False
143,201457,False,True
144,564476,False,True
145,373879,True,False
146,1202156,False,True
147,1167814,False,True
148,167531,True,False
149,314885,,True
150,629631,True,False
151,808456,False,True
152,328778,False,True
153,921038,False,True
154,67208,True,False
155,1134345,True,False
156,912876,True,False
157,85674,True,False
158,1107929,False,True
159,394340,True,False
160,364950,True,False
161,297365,False,True
162,81166,False,True
163,403873,True,False
164,988418,False,True
165,768993,True,False
166,102708,True,False
167,433501,False,True
168,170293,True,False
169,1177005,False,True
170,564594,False,True
171,552436,False,True
172,646590,True,False
173,297279,False,True
174,920964,False,True
175,919705,True,False
176,33838,True,False
177,699169,True,False
178,1204311,False,True
179,1026857,False,True
180,201925,True,False
181,551527,False,True
182,971213,True,False
183,551633,False,True
184,452533,False,True
185,71277,True,False
186,405832,True,False
187,857894,False,True
188,953782,False,True
189,261548,True,False
190,731248,,True
191,589486,False,True
192,1067150,True,False
193,502567,False,True
194,984216,False,True
195,941790,False,True
196,822236,False,True
197,669219,True,False
198,1132575,False,True
199,203069,True,False
200,69077,True,False
201,870070,True,False
202,640108,True,False
203,678804,True,False
204,1022321,True,False
205,924898,True,False
206,248929,False,True
207,971087,True,False
208,1030450,True,False
209,924897,True,False
210,1017551,,True
211,608191,True,False
212,902500,True,False
213,472885,True,False
214,16084,True,False
215,678803,True,False
216,942006,True,False
217,965053,True,False
218,1035198,False,True
219,656960,True,False
220,987671,True,False
221,919396,True,False
